84029,Opp Blk 32,966,355,980,369
83249,Flamingo Valley,954,398,968,412
93119,Aft Elite Pk Ave,950,442,964,456
93149,Seaside Residences,939,483,953,497
14171,OPP YEO'S BLDG,294,662,308,676
15051,ALEXANDRA PT,244,629,258,643
18071,NUH,211,595,225,609
20011,BLK 506,183,559,197,573
28231,JURONG TOWN HALL,169,513,183,527
